algorithm,time
qs5,0.021481037139892578
merge1,0.023881912231445312
partition_sort,0.009998559951782227
qs1,0.01600480079650879
qs2,0.022144794464111328
qs3,0.022014141082763672
qs4,0.022125959396362305
qs5,0.02001643180847168
merge1,0.02097940444946289
partition_sort,0.009001970291137695
qs1,0.012998342514038086
qs2,0.021005630493164062
qs3,0.02053236961364746
qs4,0.020992279052734375
qs5,0.01798415184020996
merge1,0.02099895477294922
partition_sort,0.009002208709716797
qs1,0.014002323150634766
qs2,0.02157425880432129
qs3,0.01999974250793457
qs4,0.019019603729248047
qs5,0.01799750328063965
merge1,0.01998734474182129
partition_sort,0.00850367546081543
qs1,0.014000654220581055
qs2,0.018998384475708008
qs3,0.01999974250793457
qs4,0.02001786231994629
qs5,0.01900482177734375
merge1,0.01949310302734375
partition_sort,0.009000062942504883
qs1,0.014002561569213867
qs2,0.0189974308013916
qs3,0.022002458572387695
qs4,0.02102518081665039
qs5,0.024512052536010742
merge1,0.021004199981689453
partition_sort,0.009000778198242188
qs1,0.014514446258544922
qs2,0.022027969360351562
qs3,0.02249741554260254
qs4,0.020017623901367188
qs5,0.01998162269592285
merge1,0.02099776268005371
partition_sort,0.010001182556152344
qs1,0.01402139663696289
qs2,0.02254319190979004
qs3,0.019999980926513672
qs4,0.02102208137512207
qs5,0.01898026466369629
merge1,0.021045923233032227
partition_sort,0.010567188262939453
qs1,0.013983011245727539
qs2,0.022017478942871094
qs3,0.020999670028686523
qs4,0.022015810012817383
qs5,0.01951456069946289
merge1,0.021001338958740234
partition_sort,0.008998632431030273
qs1,0.014015674591064453
qs2,0.019984006881713867
qs3,0.023005008697509766
qs4,0.01952385902404785
qs5,0.017999649047851562
merge1,0.018982887268066406
partition_sort,0.010000228881835938
qs1,0.013025283813476562
qs2,0.01900196075439453
qs3,0.019509077072143555
qs4,0.02100086212158203
qs5,0.017031192779541016
merge1,0.018985748291015625
partition_sort,0.00798177719116211
qs1,0.01400446891784668
qs2,0.019051551818847656
qs3,0.021002769470214844
qs4,0.01801276206970215
qs5,0.01700139045715332
merge1,0.018985748291015625
partition_sort,0.009099483489990234
qs1,0.013700723648071289
qs2,0.019902944564819336
qs3,0.018999338150024414
qs4,0.02000594139099121
qs5,0.019042015075683594
merge1,0.0204925537109375
partition_sort,0.00899958610534668
qs1,0.014000177383422852
qs2,0.019016504287719727
qs3,0.020000219345092773
qs4,0.019080638885498047
qs5,0.017609834671020508
merge1,0.019899368286132812
partition_sort,0.00909876823425293
qs1,0.013902425765991211
qs2,0.02200007438659668
qs3,0.020005226135253906
qs4,0.021506786346435547
qs5,0.017999887466430664
merge1,0.01999974250793457
partition_sort,0.009002208709716797
qs1,0.01402735710144043
qs2,0.022016048431396484
qs3,0.01954960823059082
qs4,0.019999027252197266
qs5,0.019002676010131836
merge1,0.0189971923828125
partition_sort,0.009020090103149414
qs1,0.014033317565917969
qs2,0.019547462463378906
qs3,0.019019365310668945
qs4,0.01897907257080078
qs5,0.01801753044128418
merge1,0.02010035514831543
partition_sort,0.008513689041137695
qs1,0.014906644821166992
qs2,0.02300095558166504
qs3,0.022997379302978516
qs4,0.0255434513092041
qs5,0.01844644546508789
merge1,0.02098226547241211
partition_sort,0.01100611686706543
qs1,0.015522956848144531
qs2,0.024758577346801758
qs3,0.02443695068359375
qs4,0.0209810733795166
qs5,0.02000737190246582
merge1,0.021508455276489258
partition_sort,0.009699106216430664
qs1,0.01500701904296875
qs2,0.023075580596923828
qs3,0.020000219345092773
qs4,0.020999431610107422
qs5,0.01900005340576172
merge1,0.021002769470214844
partition_sort,0.008507490158081055
qs1,0.01399993896484375
qs2,0.020000457763671875
qs3,0.02000117301940918
qs4,0.01899886131286621
qs5,0.01800370216369629
merge1,0.02156996726989746
partition_sort,0.009000301361083984
qs1,0.014016389846801758
qs2,0.021003007888793945
qs3,0.01999831199645996
qs4,0.01998591423034668
qs5,0.017508268356323242
merge1,0.019999980926513672
partition_sort,0.009000539779663086
qs1,0.014000177383422852
qs2,0.022007465362548828
qs3,0.0217592716217041
qs4,0.0210111141204834
qs5,0.01797008514404297
merge1,0.02201533317565918
partition_sort,0.009003400802612305
qs1,0.015009164810180664
qs2,0.02154254913330078
qs3,0.021015167236328125
qs4,0.022986173629760742
qs5,0.018997907638549805
merge1,0.021010637283325195
partition_sort,0.00950932502746582
qs1,0.015999555587768555
qs2,0.020999908447265625
qs3,0.019999980926513672
qs4,0.0200192928314209
qs5,0.018007993698120117
merge1,0.019526004791259766
partition_sort,0.009983539581298828
qs1,0.014998674392700195
qs2,0.020999908447265625
qs3,0.021053552627563477
qs4,0.030522823333740234
qs5,0.033997297286987305
merge1,0.02802300453186035
partition_sort,0.011026382446289062
qs1,0.01648879051208496
qs2,0.024019956588745117
qs3,0.0229952335357666
qs4,0.021983861923217773
qs5,0.02011561393737793
merge1,0.022508621215820312
partition_sort,0.010000228881835938
qs1,0.01502847671508789
qs2,0.02154088020324707
qs3,0.022188901901245117
qs4,0.020568370819091797
qs5,0.020015716552734375
merge1,0.02100086212158203
partition_sort,0.010003328323364258
qs1,0.014996767044067383
qs2,0.02603769302368164
qs3,0.022542953491210938
qs4,0.021998882293701172
qs5,0.019002914428710938
merge1,0.021013259887695312
partition_sort,0.013012886047363281
qs1,0.015560626983642578
qs2,0.020016193389892578
qs3,0.020984172821044922
qs4,0.021016836166381836
qs5,0.019986391067504883
merge1,0.0205075740814209
partition_sort,0.009000301361083984
qs1,0.015000104904174805
qs2,0.02102041244506836
qs3,0.02799820899963379
qs4,0.022523164749145508
qs5,0.028010129928588867
merge1,0.02298760414123535
partition_sort,0.011017322540283203
qs1,0.01517796516418457
qs2,0.022614240646362305
qs3,0.02409839630126953
qs4,0.023900747299194336
qs5,0.020999670028686523
